operations,base_add_total_time,base_add_avg_time,base_add_scaling_behavior,base_amend_total_time,base_amend_avg_time,base_amend_scaling_behavior,base_delete_total_time,base_delete_avg_time,base_delete_scaling_behavior,opt_add_total_time,opt_add_avg_time,opt_add_scaling_behavior,opt_amend_total_time,opt_amend_avg_time,opt_amend_scaling_behavior,opt_delete_total_time,opt_delete_avg_time,opt_delete_scaling_behavior
10,0.0006449,6.45E-05,0.000930094,0.0002161,2.16E-05,0.000311733,0.0002232,2.23E-05,0.000321974,0.0004693,4.69E-05,0.000676898,0.0003865,3.87E-05,0.000557494,0.0003207,3.21E-05,0.000462598
100,0.0048714,4.87E-05,0.007010882,0.002024,2.02E-05,0.002917064,0.0013736,1.37E-05,0.001980326,0.0003988,3.99E-06,0.000575232,0.0003485,3.49E-06,0.000502692,0.0003439,3.44E-06,0.000496057
1000,0.0700647,7.01E-05,0.09769803,0.1492654,0.000149265,0.200711998,0.0796929,7.97E-05,0.110621021,0.0004804,4.80E-07,0.000692904,0.0005396,5.40E-07,0.000778268,0.0003911,3.91E-07,0.000564128
10000,2.1459366,0.000214594,1.653489596,17.8858644,0.001788586,4.239234912,8.1239104,0.000812391,3.189652279,0.0006752,6.75E-08,0.000973779,0.0014058,1.41E-07,0.002026716,0.0011669,1.17E-07,0.001682499
100000,451.2267488,0.004512267,8.820902518,900,0.009,9.815383296,900,0.009,9.815383296,0.0016862,1.69E-08,0.002430624,0.0094937,9.49E-08,0.013631907,0.0103093,1.03E-07,0.014797033
1000000,900,0.0009,9.815383296,900,0.0009,9.815383296,900,0.0009,9.815383296,0.0126189,1.26E-08,0.018091317,0.1184776,1.18E-07,0.161536363,0.1164058,1.16E-07,0.158861525
