PositionQuantity,AvgPrice,Return,Capital,MarketPrice
28.0,186.30821428571429,-375.68,5087.930000000005,187.84
30.0,186.48100000000002,-377.8,4710.130000000005,188.9
31.0,186.62548387096774,-190.96,4519.170000000005,190.96
15.0,186.62548387096774,3162.4,7681.570000000005,197.65
7.0,186.62548387096774,1548.64,9230.210000000005,193.58
3.0,186.62548387096774,776.08,10006.290000000005,194.02
1.0,186.62548387096774,396.2,10402.490000000005,198.1
0.0,0.0,199.03,10601.520000000006,199.03
0.0,0.0,0.0,10601.520000000006,198.82
0.0,0.0,0.0,10601.520000000006,198.93
0.0,0.0,0.0,10601.520000000006,199.37
3.0,199.43999999999997,-598.3199999999999,10003.200000000006,199.44
1.0,199.43999999999997,395.22,10398.420000000006,197.61
4.0,194.51999999999998,-578.64,9819.780000000006,192.88
5.0,192.50799999999998,-184.46,9635.320000000007,184.46
2.0,192.50799999999998,539.22,10174.540000000006,179.74
1.0,192.50799999999998,171.36,10345.900000000007,171.36
0.0,0.0,174.17,10520.070000000007,174.17
4.0,172.73,-690.92,9829.150000000007,172.73
8.0,172.94,-692.6,9136.550000000007,173.15
12.0,172.37,-684.92,8451.630000000006,171.23
15.0,171.594,-505.47,7946.160000000006,168.49
18.0,170.75833333333333,-499.74,7446.420000000006,166.58
9.0,170.75833333333333,1488.1499999999999,8934.570000000007,165.35
4.0,170.75833333333333,813.4000000000001,9747.970000000007,162.68
2.0,170.75833333333333,322.86,10070.830000000007,161.43
1.0,170.75833333333333,162.26,10233.090000000007,162.26
0.0,0.0,160.29,10393.380000000008,160.29
4.0,161.23,-644.92,9748.460000000008,161.23
8.0,160.51,-639.16,9109.300000000008,159.79
12.0,159.6,-631.12,8478.180000000008,157.78
16.0,159.33749999999998,-634.2,7843.980000000008,158.55
19.0,159.84631578947366,-487.68,7356.3000000000075,162.56
22.0,159.9504545454545,-481.83000000000004,6874.4700000000075,160.61
25.0,160.53119999999996,-494.37,6380.100000000008,164.79
27.0,160.59259259259255,-322.72,6057.380000000007,161.36
29.0,160.77448275862065,-326.46,5730.920000000007,163.23
31.0,161.07806451612902,-330.96,5399.960000000007,165.48
33.0,161.59151515151513,-339.1,5060.860000000007,169.55
35.0,161.94057142857142,-335.4,4725.460000000007,167.7
17.0,161.94057142857142,3069.36,7794.820000000007,170.52
8.0,161.94057142857142,1543.23,9338.050000000007,171.47
4.0,161.94057142857142,674.04,10012.090000000007,168.51
2.0,161.94057142857142,334.08,10346.170000000007,167.04
1.0,161.94057142857142,166.24,10512.410000000007,166.24
0.0,0.0,168.28,10680.690000000008,168.28
0.0,0.0,0.0,10680.690000000008,160.77
0.0,0.0,0.0,10680.690000000008,164.47
0.0,0.0,0.0,10680.690000000008,161.1
4.0,164.1,-656.4,10024.290000000008,164.1
8.0,165.095,-664.36,9359.930000000008,166.09
4.0,165.095,677.12,10037.050000000008,169.28
2.0,165.095,342.16,10379.210000000008,171.08
1.0,165.095,169.95,10549.160000000009,169.95
0.0,0.0,170.0,10719.160000000009,170.0
0.0,0.0,0.0,10719.160000000009,169.79
0.0,0.0,0.0,10719.160000000009,167.27
0.0,0.0,0.0,10719.160000000009,169.0
0.0,0.0,0.0,10719.160000000009,168.15
0.0,0.0,0.0,10719.160000000009,169.06
0.0,0.0,0.0,10719.160000000009,165.09
4.0,163.63,-654.52,10064.640000000009,163.63
8.0,164.82999999999998,-664.12,9400.520000000008,166.03
12.0,166.3133333333333,-677.12,8723.400000000007,169.28
15.0,166.53266666666664,-502.23,8221.170000000007,167.41
18.0,166.24888888888887,-494.49,7726.680000000008,164.83
9.0,166.24888888888887,1509.21,9235.890000000007,167.69
4.0,166.24888888888887,829.55,10065.440000000006,165.91
2.0,166.24888888888887,347.1,10412.540000000006,173.55
1.0,166.24888888888887,172.86,10585.400000000007,172.86
0.0,0.0,175.78,10761.180000000008,175.78
0.0,0.0,0.0,10761.180000000008,176.72
0.0,0.0,0.0,10761.180000000008,172.17
0.0,0.0,0.0,10761.180000000008,178.57
0.0,0.0,0.0,10761.180000000008,182.83
0.0,0.0,0.0,10761.180000000008,188.0
0.0,0.0,0.0,10761.180000000008,191.63
0.0,0.0,0.0,10761.180000000008,192.92
0.0,0.0,0.0,10761.180000000008,195.49
0.0,0.0,0.0,10761.180000000008,198.9
