PositionQuantity,AvgPrice,Return,Capital,MarketPrice
0.0,0.0,0.0,100000.0,272.3399963378906
0.0,0.0,0.0,100000.0,271.9216003417969
0.0,0.0,0.0,100000.0,271.9100036621094
0.0,0.0,0.0,100000.0,272.19000244140625
0.0,0.0,0.0,100000.0,271.2099914550781
0.0,0.0,0.0,100000.0,271.25
0.0,0.0,0.0,100000.0,271.614990234375
0.0,0.0,0.0,100000.0,271.5249938964844
0.0,0.0,0.0,100000.0,271.3901062011719
0.0,0.0,0.0,100000.0,271.5899963378906
0.0,0.0,0.0,100000.0,271.4800109863281
0.0,0.0,0.0,100000.0,271.8399963378906
0.0,0.0,0.0,100000.0,272.4700012207031
0.0,0.0,0.0,100000.0,272.2300109863281
0.0,0.0,0.0,100000.0,272.9100036621094
0.0,0.0,0.0,100000.0,273.3800048828125
0.0,0.0,0.0,100000.0,273.010009765625
0.0,0.0,0.0,100000.0,273.4551086425781
0.0,0.0,0.0,100000.0,273.5199890136719
0.0,0.0,0.0,100000.0,273.5299987792969
0.0,0.0,0.0,100000.0,273.3399963378906
0.0,0.0,0.0,100000.0,273.0679931640625
0.0,0.0,0.0,100000.0,273.1099853515625
0.0,0.0,0.0,100000.0,273.29010009765625
0.0,0.0,0.0,100000.0,273.70989990234375
0.0,0.0,0.0,100000.0,273.3699951171875
0.0,0.0,0.0,100000.0,273.7699890136719
0.0,0.0,0.0,100000.0,273.70001220703125
0.0,0.0,0.0,100000.0,273.93499755859375
0.0,0.0,0.0,100000.0,273.6549987792969
0.0,0.0,0.0,100000.0,273.4382019042969
0.0,0.0,0.0,100000.0,273.19500732421875
0.0,0.0,0.0,100000.0,272.997802734375
0.0,0.0,0.0,100000.0,272.7250061035156
0.0,0.0,0.0,100000.0,272.80999755859375
27.0,272.80999755859375,-7365.869934082031,92634.13006591797,272.7699890136719
52.0,272.7907626812275,-6819.249725341797,85814.88034057617,272.57000732421875
75.0,272.7230643717448,-6269.110168457031,79545.77017211914,272.79998779296875
96.0,272.7398913701375,-5728.799743652344,73816.9704284668,272.70001220703125
116.0,272.73301565236056,-5454.000244140625,68362.97018432617,272.40838623046875
134.0,272.68940871509153,-4903.3509521484375,63459.619232177734,272.45220947265625
151.0,272.6627041646187,-4631.687561035156,58827.93167114258,272.92999267578125
167.0,272.68831264473005,-4366.8798828125,54461.05178833008,272.8599853515625
181.0,272.7015911966397,-3820.039794921875,50641.0119934082,272.9649963378906
194.0,272.71924205662043,-3548.544952392578,47092.467041015625,272.7099914550781
206.0,272.71870318662764,-3272.5198974609375,43819.94714355469,272.9200134277344
218.0,272.72978448430325,-3275.0401611328125,40544.906982421875,273.2300109863281
229.0,272.7538128315621,-3005.5301208496094,37539.376861572266,273.3399963378906
239.0,272.778339338103,-2733.3999633789062,34805.97689819336,273.2699890136719
119.0,272.778339338103,32792.398681640625,67598.37557983398,273.2401123046875
59.0,272.778339338103,16394.40673828125,83992.78231811523,273.4710998535156
29.0,272.778339338103,8204.132995605469,92196.9153137207,273.2200012207031
14.0,272.778339338103,4098.300018310547,96295.21533203125,273.1199951171875
7.0,272.778339338103,1911.8399658203125,98207.05529785156,273.19000244140625
3.0,272.778339338103,1092.760009765625,99299.81530761719,273.29998779296875
1.0,272.778339338103,546.5999755859375,99846.41528320312,273.3299865722656
0.0,0.0,273.3299865722656,100119.74526977539,273.5050048828125
0.0,0.0,0.0,100119.74526977539,273.5498962402344
0.0,0.0,0.0,100119.74526977539,273.6300048828125
0.0,0.0,0.0,100119.74526977539,273.75
0.0,0.0,0.0,100119.74526977539,273.80999755859375
0.0,0.0,0.0,100119.74526977539,273.79998779296875
0.0,0.0,0.0,100119.74526977539,273.6700134277344
0.0,0.0,0.0,100119.74526977539,273.489990234375
0.0,0.0,0.0,100119.74526977539,273.5050048828125
0.0,0.0,0.0,100119.74526977539,273.5400085449219
0.0,0.0,0.0,100119.74526977539,273.7300109863281
0.0,0.0,0.0,100119.74526977539,273.69000244140625
0.0,0.0,0.0,100119.74526977539,273.69500732421875
0.0,0.0,0.0,100119.74526977539,273.2699890136719
0.0,0.0,0.0,100119.74526977539,273.42999267578125
0.0,0.0,0.0,100119.74526977539,273.30499267578125
0.0,0.0,0.0,100119.74526977539,273.2500915527344
27.0,273.2500915527344,-7377.752471923828,92741.99279785156,273.3999938964844
52.0,273.32215998722955,-6834.999847412109,85906.99295043945,273.5050048828125
75.0,273.378232421875,-6290.6151123046875,79616.37783813477,273.54998779296875
96.0,273.41580390930176,-5744.549743652344,73871.82809448242,273.52801513671875
116.0,273.4351506726495,-5470.560302734375,68401.26779174805,273.4042053222656
134.0,273.43099383453824,-4921.275695800781,63479.992095947266,273.385009765625
151.0,273.4258168201573,-4647.545166015625,58832.44692993164,273.20001220703125
